Province/State,Country/Region,Lat,Long,Date,Confirmed,Last Update
"Hillsborough, FL",US,27.9904,-82.3018,03-05-2020 ,2,
"Placer County, CA",US,39.0916,-120.8039,03-05-2020 ,2,
"Providence, RI",US,41.824,-71.4128,03-05-2020 ,2,
"Sacramento County, CA",US,38.4747,-121.3542,03-05-2020 ,2,
"San Benito, CA",US,36.5761,-120.9876,03-05-2020 ,2,
"San Francisco County, CA",US,37.7749,-122.4194,03-05-2020 ,2,
"San Mateo, CA",US,37.563,-122.3255,03-05-2020 ,2,
"Washington County, OR",US,45.547,-123.1386,03-05-2020 ,2,
,Afghanistan,33,65,03-05-2020 ,1,
,Andorra,42.5063,1.5218,03-05-2020 ,1,
,Argentina,-38.4161,-63.6167,03-05-2020 ,1,
,Armenia,40.0691,45.0382,03-05-2020 ,1,
Northern Territory,Australia,-12.4634,130.8456,03-05-2020 ,1,
Tasmania,Australia,-41.4545,145.9707,03-05-2020 ,1,
,Cambodia,11.55,104.9167,03-05-2020 ,1,
"London, ON",Canada,42.9849,-81.2453,03-05-2020 ,1,
"London, ON",Canada,42.9849,-81.2453,03-05-2020 ,1,
,Dominican Republic,18.7357,-70.1627,03-05-2020 ,1,
,Faroe Islands,61.8926,-6.9118,03-05-2020 ,1,
,Gibraltar,36.1408,-5.3536,03-05-2020 ,1,
,Jordan,31.24,36.51,03-05-2020 ,1,
,Latvia,56.8796,24.6032,03-05-2020 ,1,
,Liechtenstein,47.14,9.55,03-05-2020 ,1,
,Lithuania,55.1694,23.8813,03-05-2020 ,1,
,Luxembourg,49.8153,6.1296,03-05-2020 ,1,
Tibet,China,31.6927,88.0924,03-05-2020 ,1,
,Monaco,43.7333,7.4167,03-05-2020 ,1,
,Nepal,28.1667,84.25,03-05-2020 ,1,
,Nigeria,9.082,8.6753,03-05-2020 ,1,
,North Macedonia,41.6086,21.7453,03-05-2020 ,1,
,Poland,51.9194,19.1451,03-05-2020 ,1,
,South Africa,-30.5595,22.9375,03-05-2020 ,1,
,Sri Lanka,7,81,03-05-2020 ,1,
,Tunisia,34,9,03-05-2020 ,1,
" Norfolk County, MA",US,42.1767,-71.1449,03-05-2020 ,1,
"Berkeley, CA",US,37.8715,-122.273,03-05-2020 ,1,
"Boston, MA",US,42.3601,-71.0589,03-05-2020 ,1,
"Boston, MA",US,42.3601,-71.0589,03-05-2020 ,1,
"Clark County, NV",US,36.0796,-115.094,03-05-2020 ,1,
"Contra Costa County, CA",US,37.8534,-121.9018,03-05-2020 ,1,
"Fort Bend County, TX",US,29.5693,-95.8143,03-05-2020 ,1,
"Grant County, WA",US,47.1981,-119.3732,03-05-2020 ,1,
"Humboldt County, CA",US,40.745,-123.8695,03-05-2020 ,1,
"Madison, WI",US,43.0731,-89.4012,03-05-2020 ,1,
"Maricopa County, AZ",US,33.2918,-112.4291,03-05-2020 ,1,
"Queens County, NY",US,40.7282,-73.7949,03-05-2020 ,1,
"San Antonio, TX",US,29.4241,-98.4936,03-05-2020 ,1,
"Santa Rosa County, FL",US,30.769,-86.9824,03-05-2020 ,1,
"Sarasota, FL",US,27.3364,-82.5307,03-05-2020 ,1,
"Sonoma County, CA",US,38.578,-122.9888,03-05-2020 ,1,
"Tempe, AZ",US,33.4255,-111.94,03-05-2020 ,1,
"Tempe, AZ",US,33.4255,-111.94,03-05-2020 ,1,
"Umatilla, OR",US,45.775,-118.7606,03-05-2020 ,1,
"Wake County, NC",US,35.8032,-78.5661,03-05-2020 ,1,
"Williamson County, TN",US,35.9179,-86.8622,03-05-2020 ,1,
,Ukraine,48.3794,31.1656,03-05-2020 ,1,
From Diamond Princess,Australia,35.4437,139.638,03-05-2020 ,0,
"Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134,03-05-2020 ,0,
"Omaha, NE (From Diamond Princess)",US,41.2545,-95.9758,03-05-2020 ,0,
"Travis, CA (From Diamond Princess)",US,38.2721,-121.9399,03-05-2020 ,0,
Hubei,China,30.9756,112.2707,03-06-2020 ,67592,
,South Korea,36,128,03-06-2020 ,6593,
,Iran,32,53,03-06-2020 ,4747,
,Italy,43,12,03-06-2020 ,4636,
Guangdong,China,23.3417,113.4244,03-06-2020 ,1352,
Henan,China,33.88202,113.614,03-06-2020 ,1272,
Zhejiang,China,29.1832,120.0934,03-06-2020 ,1215,
Hunan,China,27.6104,111.7088,03-06-2020 ,1018,
Anhui,China,31.8257,117.2264,03-06-2020 ,990,
Jiangxi,China,27.614,115.7221,03-06-2020 ,935,
Shandong,China,36.3427,118.1498,03-06-2020 ,758,
Diamond Princess cruise ship,Others,35.4437,139.638,03-06-2020 ,696,
,Germany,51,9,03-06-2020 ,670,
,France,47,2,03-06-2020 ,653,
Jiangsu,China,32.9711,119.455,03-06-2020 ,631,
Chongqing,China,30.0572,107.874,03-06-2020 ,576,
Sichuan,China,30.6171,102.7103,03-06-2020 ,539,
Heilongjiang,China,47.862,127.7615,03-06-2020 ,481,
Beijing,China,40.1824,116.4142,03-06-2020 ,422,
,Japan,36,138,03-06-2020 ,420,
,Spain,40,-4,03-06-2020 ,400,
Shanghai,China,31.202,121.4491,03-06-2020 ,342,
Hebei,China,38.0428,114.5149,03-06-2020 ,318,
Fujian,China,26.0789,117.9874,03-06-2020 ,296,
Guangxi,China,23.8298,108.7881,03-06-2020 ,252,
Shaanxi,China,35.1917,108.8701,03-06-2020 ,245,
,Switzerland,46.8182,8.2275,03-06-2020 ,214,
Yunnan,China,24.974,101.487,03-06-2020 ,174,
Hainan,China,19.1959,109.7453,03-06-2020 ,168,
,UK,55,-3,03-06-2020 ,163,
Guizhou,China,26.8154,106.8748,03-06-2020 ,146,
Tianjin,China,39.3054,117.323,03-06-2020 ,136,
Shanxi,China,37.5777,112.2922,03-06-2020 ,133,
,Singapore,1.2833,103.8333,03-06-2020 ,130,
,Netherlands,52.1326,5.2913,03-06-2020 ,128,
Liaoning,China,41.2956,122.6085,03-06-2020 ,125,
Gansu,China,36.0611,103.8343,03-06-2020 ,119,
,Belgium,50.8333,4,03-06-2020 ,109,
,Norway,60.472,8.4689,03-06-2020 ,108,
Hong Kong,Hong Kong,22.3,114.2,03-06-2020 ,107,
,Sweden,63,16,03-06-2020 ,101,
Jilin,China,43.6661,126.1923,03-06-2020 ,93,
,Malaysia,2.5,112.5,03-06-2020 ,83,
Xinjiang,China,41.1129,85.2401,03-06-2020 ,76,
Inner Mongolia,China,44.0935,113.9448,03-06-2020 ,75,
Ningxia,China,37.2692,106.1655,03-06-2020 ,75,
,Bahrain,26.0275,50.55,03-06-2020 ,60,
,Kuwait,29.5,47.75,03-06-2020 ,58,
"King County, WA",US,47.6062,-122.3321,03-06-2020 ,58,
,Austria,47.5162,14.5501,03-06-2020 ,55,
,Thailand,15,101,03-06-2020 ,48,
,Greece,39.0742,21.8243,03-06-2020 ,45,
Taiwan,Taiwan,23.7,121,03-06-2020 ,45,
Unassigned Location (From Diamond Princess),US,35.4437,139.638,03-06-2020 ,45,
,Iceland,64.9631,-19.0208,03-06-2020 ,43,
,Iraq,33,44,03-06-2020 ,40,
,India,21,78,03-06-2020 ,31,
,United Arab Emirates,24,54,03-06-2020 ,29,
New South Wales,Australia,-33.8688,151.2093,03-06-2020 ,26,
"Toronto, ON",Canada,43.6532,-79.3832,03-06-2020 ,24,
"Toronto, ON",Canada,43.6532,-79.3832,03-06-2020 ,24,
,Denmark,56.2639,9.5018,03-06-2020 ,23,
,Lebanon,33.8547,35.8623,03-06-2020 ,22,
British Columbia,Canada,49.2827,-123.1207,03-06-2020 ,21,
,Israel,31,35,03-06-2020 ,21,
,San Marino,43.9424,12.4578,03-06-2020 ,21,
"Santa Clara, CA",US,37.3541,-121.9552,03-06-2020 ,20,
"Santa Clara, CA",US,37.3541,-121.9552,03-06-2020 ,20,
"Snohomish County, WA",US,48.033,-121.8339,03-06-2020 ,19,
"Westchester County, NY",US,41.122,-73.7949,03-06-2020 ,19,
,Czech Republic,49.8175,15.473,03-06-2020 ,18,
,Ireland,53.1424,-7.6921,03-06-2020 ,18,
Qinghai,China,35.7452,95.9956,03-06-2020 ,18,
,Algeria,28.0339,1.6596,03-06-2020 ,17,
,Oman,21,57,03-06-2020 ,16,
,Palestine,31.9522,35.2332,03-06-2020 ,16,
"New York County, NY",US,40.7128,-74.006,03-06-2020 ,16,
,Vietnam,16,108,03-06-2020 ,16,
,Egypt,26,30,03-06-2020 ,15,
,Finland,64,26,03-06-2020 ,15,
Queensland,Australia,-28.0167,153.4,03-06-2020 ,13,
,Brazil,-14.235,-51.9253,03-06-2020 ,13,
,Ecuador,-1.8312,-78.1834,03-06-2020 ,13,
,Portugal,39.3999,-8.2245,03-06-2020 ,13,
,Russia,60,90,03-06-2020 ,13,
"Los Angeles, CA",US,34.0522,-118.2437,03-06-2020 ,13,
,Croatia,45.1,15.2,03-06-2020 ,11,
Victoria,Australia,-37.8136,144.9631,03-06-2020 ,10,
,Estonia,58.5953,25.0136,03-06-2020 ,10,
Macau,Macau,22.1667,113.55,03-06-2020 ,10,
,Romania,45.9432,24.9668,03-06-2020 ,9,
,Qatar,25.3548,51.1839,03-06-2020 ,8,
South Australia,Australia,-34.9285,138.6007,03-06-2020 ,7,
,Slovenia,46.1512,14.9955,03-06-2020 ,7,
,Azerbaijan,40.1431,47.5769,03-06-2020 ,6,
,Belarus,53.7098,27.9534,03-06-2020 ,6,
,Mexico,23.6345,-102.5528,03-06-2020 ,6,
,Pakistan,30.3753,69.3451,03-06-2020 ,6,
,Philippines,13,122,03-06-2020 ,5,
,Poland,51.9194,19.1451,03-06-2020 ,5,
,Saudi Arabia,24,45,03-06-2020 ,5,
"Cook County, IL",US,41.7377,-87.6976,03-06-2020 ,5,
"Placer County, CA",US,39.0916,-120.8039,03-06-2020 ,5,
"Unassigned Location, WA",US,47.7511,-120.7401,03-06-2020 ,5,
,Chile,-35.6751,-71.543,03-06-2020 ,4,
,Georgia,42.3154,43.3569,03-06-2020 ,4,
,Indonesia,-0.7893,113.9213,03-06-2020 ,4,
,New Zealand,-40.9006,174.886,03-06-2020 ,4,
,Senegal,14.4974,-14.4524,03-06-2020 ,4,
Western Australia,Australia,-31.9505,115.8605,03-06-2020 ,3,
,North Macedonia,41.6086,21.7453,03-06-2020 ,3,
,Saint Barthelemy,17.9,-62.8333,03-06-2020 ,3,
"Contra Costa County, CA",US,37.8534,-121.9018,03-06-2020 ,3,
"Harris County, TX",US,29.7752,-95.3103,03-06-2020 ,3,
"Montgomery County, MD",US,39.1547,-77.2405,03-06-2020 ,3,
"Orange County, CA",US,33.7879,-117.8531,03-06-2020 ,3,
"San Diego County, CA",US,32.7157,-117.1611,03-06-2020 ,3,
"Suffolk County, MA",US,42.3601,-71.0589,03-06-2020 ,3,
,Argentina,-38.4161,-63.6167,03-06-2020 ,2,
,Bosnia and Herzegovina,43.9159,17.6791,03-06-2020 ,2,
" Montreal, QC",Canada,45.5017,-73.5673,03-06-2020 ,2,
" Montreal, QC",Canada,45.5017,-73.5673,03-06-2020 ,2,
,Dominican Republic,18.7357,-70.1627,03-06-2020 ,2,
,Hungary,47.1625,19.5033,03-06-2020 ,2,
,Luxembourg,49.8153,6.1296,03-06-2020 ,2,
,Morocco,31.7917,-7.0926,03-06-2020 ,2,
" Norfolk County, MA",US,42.1767,-71.1449,03-06-2020 ,2,
"Bergen County, NJ",US,40.9263,-74.077,03-06-2020 ,2,
"Denver County, CO",US,39.7392,-104.9903,03-06-2020 ,2,
"Fulton County, GA",US,33.8034,-84.3963,03-06-2020 ,2,
"Grafton County, NH",US,43.9088,-71.826,03-06-2020 ,2,
"Hillsborough, FL",US,27.9904,-82.3018,03-06-2020 ,2,
"Maricopa County, AZ",US,33.2918,-112.4291,03-06-2020 ,2,
"Providence, RI",US,41.824,-71.4128,03-06-2020 ,2,
"Sacramento County, CA",US,38.4747,-121.3542,03-06-2020 ,2,
"San Benito, CA",US,36.5761,-120.9876,03-06-2020 ,2,
"San Francisco County, CA",US,37.7749,-122.4194,03-06-2020 ,2,
"San Mateo, CA",US,37.563,-122.3255,03-06-2020 ,2,
"Summit County, CO",US,39.5912,-106.064,03-06-2020 ,2,
"Washington County, OR",US,45.547,-123.1386,03-06-2020 ,2,
,Afghanistan,33,65,03-06-2020 ,1,
,Andorra,42.5063,1.5218,03-06-2020 ,1,
,Armenia,40.0691,45.0382,03-06-2020 ,1,
Tasmania,Australia,-41.4545,145.9707,03-06-2020 ,1,
,Bhutan,27.5142,90.4336,03-06-2020 ,1,
,Cambodia,11.55,104.9167,03-06-2020 ,1,
,Cameroon,3.848,11.5021,03-06-2020 ,1,
"Calgary, Alberta",Canada,51.0447,-114.0719,03-06-2020 ,1,
"London, ON",Canada,42.9849,-81.2453,03-06-2020 ,1,
"London, ON",Canada,42.9849,-81.2453,03-06-2020 ,1,
,Colombia,4.5709,-74.2973,03-06-2020 ,1,
,Costa Rica,9.7489,-83.7534,03-06-2020 ,1,
,Faroe Islands,61.8926,-6.9118,03-06-2020 ,1,
,Gibraltar,36.1408,-5.3536,03-06-2020 ,1,
,Jordan,31.24,36.51,03-06-2020 ,1,
,Latvia,56.8796,24.6032,03-06-2020 ,1,
,Liechtenstein,47.14,9.55,03-06-2020 ,1,
,Lithuania,55.1694,23.8813,03-06-2020 ,1,
Tibet,China,31.6927,88.0924,03-06-2020 ,1,
,Monaco,43.7333,7.4167,03-06-2020 ,1,
,Nepal,28.1667,84.25,03-06-2020 ,1,
,Nigeria,9.082,8.6753,03-06-2020 ,1,
,Peru,-9.19,-75.0152,03-06-2020 ,1,
,Serbia,44.0165,21.0059,03-06-2020 ,1,
,Slovakia,48.669,19.699,03-06-2020 ,1,
,South Africa,-30.5595,22.9375,03-06-2020 ,1,
,Sri Lanka,7,81,03-06-2020 ,1,
,Togo,8.6195,0.8248,03-06-2020 ,1,
,Tunisia,34,9,03-06-2020 ,1,
"Berkeley, CA",US,37.8715,-122.273,03-06-2020 ,1,
"Chatham County, NC",US,35.7211,-79.1781,03-06-2020 ,1,
"Clark County, NV",US,36.0796,-115.094,03-06-2020 ,1,
"Delaware County, PA",US,39.9078,-75.3879,03-06-2020 ,1,
"Douglas County, NE",US,41.3148,-96.1951,03-06-2020 ,1,
"Fayette County, KY",US,38.0606,-84.4803,03-06-2020 ,1,
"Floyd County, GA",US,34.2829,-85.2308,03-06-2020 ,1,
"Fort Bend County, TX",US,29.5693,-95.8143,03-06-2020 ,1,
"Grant County, WA",US,47.1981,-119.3732,03-06-2020 ,1,
"Humboldt County, CA",US,40.745,-123.8695,03-06-2020 ,1,
"Madison, WI",US,43.0731,-89.4012,03-06-2020 ,1,
"Marion County, IN",US,39.8362,-86.1752,03-06-2020 ,1,
"Middlesex County, MA",US,42.4672,-71.2874,03-06-2020 ,1,
"Nassau County, NY",US,40.6546,-73.5594,03-06-2020 ,1,
"Norwell County, MA",US,42.1615,-70.7928,03-06-2020 ,1,
"Ramsey County, MN",US,44.9964,-93.0616,03-06-2020 ,1,
"San Antonio, TX",US,29.4241,-98.4936,03-06-2020 ,1,
"Santa Rosa County, FL",US,30.769,-86.9824,03-06-2020 ,1,
"Sarasota, FL",US,27.3364,-82.5307,03-06-2020 ,1,
"Sonoma County, CA",US,38.578,-122.9888,03-06-2020 ,1,
"Tempe, AZ",US,33.4255,-111.94,03-06-2020 ,1,
"Tempe, AZ",US,33.4255,-111.94,03-06-2020 ,1,
"Umatilla, OR",US,45.775,-118.7606,03-06-2020 ,1,
"Wake County, NC",US,35.8032,-78.5661,03-06-2020 ,1,
"Washoe County, NV",US,40.5608,-119.6035,03-06-2020 ,1,
"Wayne County, PA",US,41.6739,-75.2479,03-06-2020 ,1,
"Williamson County, TN",US,35.9179,-86.8622,03-06-2020 ,1,
"Yolo County, CA",US,38.7646,-121.9018,03-06-2020 ,1,
,Ukraine,48.3794,31.1656,03-06-2020 ,1,
,Vatican City,41.9029,12.4534,03-06-2020 ,1,
From Diamond Princess,Australia,35.4437,139.638,03-06-2020 ,0,
Northern Territory,Australia,-12.4634,130.8456,03-06-2020 ,0,
"Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134,03-06-2020 ,0,
"Omaha, NE (From Diamond Princess)",US,41.2545,-95.9758,03-06-2020 ,0,
"Travis, CA (From Diamond Princess)",US,38.2721,-121.9399,03-06-2020 ,0,
Hubei,China,30.9756,112.2707,03-07-2020 ,67666,
,South Korea,36,128,03-07-2020 ,7041,
,Italy,43,12,03-07-2020 ,5883,
,Iran,32,53,03-07-2020 ,5823,
Guangdong,China,23.3417,113.4244,03-07-2020 ,1352,
Henan,China,33.88202,113.614,03-07-2020 ,1272,
Zhejiang,China,29.1832,120.0934,03-07-2020 ,1215,
Hunan,China,27.6104,111.7088,03-07-2020 ,1018,
Anhui,China,31.8257,117.2264,03-07-2020 ,990,
,France,47,2,03-07-2020 ,949,
Jiangxi,China,27.614,115.7221,03-07-2020 ,935,
,Germany,51,9,03-07-2020 ,799,
Shandong,China,36.3427,118.1498,03-07-2020 ,758,
Diamond Princess cruise ship,Others,35.4437,139.638,03-07-2020 ,696,
Jiangsu,China,32.9711,119.455,03-07-2020 ,631,
Chongqing,China,30.0572,107.874,03-07-2020 ,576,
Sichuan,China,30.6171,102.7103,03-07-2020 ,539,
,Spain,40,-4,03-07-2020 ,500,
Heilongjiang,China,47.862,127.7615,03-07-2020 ,481,
,Japan,36,138,03-07-2020 ,461,
Beijing,China,40.1824,116.4142,03-07-2020 ,426,
Shanghai,China,31.202,121.4491,03-07-2020 ,342,
Hebei,China,38.0428,114.5149,03-07-2020 ,318,
Fujian,China,26.0789,117.9874,03-07-2020 ,296,
,Switzerland,46.8182,8.2275,03-07-2020 ,268,
Guangxi,China,23.8298,108.7881,03-07-2020 ,252,
Shaanxi,China,35.1917,108.8701,03-07-2020 ,245,
,UK,55,-3,03-07-2020 ,206,
,Netherlands,52.1326,5.2913,03-07-2020 ,188,
Yunnan,China,24.974,101.487,03-07-2020 ,174,
,Belgium,50.8333,4,03-07-2020 ,169,
Hainan,China,19.1959,109.7453,03-07-2020 ,168,
,Sweden,63,16,03-07-2020 ,161,
,Norway,60.472,8.4689,03-07-2020 ,147,
Guizhou,China,26.8154,106.8748,03-07-2020 ,146,
,Singapore,1.2833,103.8333,03-07-2020 ,138,
Tianjin,China,39.3054,117.323,03-07-2020 ,136,
Shanxi,China,37.5777,112.2922,03-07-2020 ,133,
Liaoning,China,41.2956,122.6085,03-07-2020 ,125,
Gansu,China,36.0611,103.8343,03-07-2020 ,120,
Hong Kong,Hong Kong,22.3,114.2,03-07-2020 ,108,
Jilin,China,43.6661,126.1923,03-07-2020 ,93,
,Malaysia,2.5,112.5,03-07-2020 ,93,
,Bahrain,26.0275,50.55,03-07-2020 ,85,
,Austria,47.5162,14.5501,03-07-2020 ,79,
Xinjiang,China,41.1129,85.2401,03-07-2020 ,76,
Inner Mongolia,China,44.0935,113.9448,03-07-2020 ,75,
Ningxia,China,37.2692,106.1655,03-07-2020 ,75,
"King County, WA",US,47.6062,-122.3321,03-07-2020 ,71,
,Kuwait,29.5,47.75,03-07-2020 ,61,
"Westchester County, NY",US,41.122,-73.7949,03-07-2020 ,57,
,Iraq,33,44,03-07-2020 ,54,
,Iceland,64.9631,-19.0208,03-07-2020 ,50,
,Thailand,15,101,03-07-2020 ,50,
,Greece,39.0742,21.8243,03-07-2020 ,46,
Taiwan,Taiwan,23.7,121,03-07-2020 ,45,
Unassigned Location (From Diamond Princess),US,35.4437,139.638,03-07-2020 ,45,
,United Arab Emirates,24,54,03-07-2020 ,45,
,India,21,78,03-07-2020 ,34,
"Santa Clara County, CA",US,37.3541,-121.9552,03-07-2020 ,32,
New South Wales,Australia,-33.8688,151.2093,03-07-2020 ,28,
"Toronto, ON",Canada,43.6532,-79.3832,03-07-2020 ,27,
"Toronto, ON",Canada,43.6532,-79.3832,03-07-2020 ,27,
"Snohomish County, WA",US,48.033,-121.8339,03-07-2020 ,27,
,Denmark,56.2639,9.5018,03-07-2020 ,23,
,San Marino,43.9424,12.4578,03-07-2020 ,23,
,Lebanon,33.8547,35.8623,03-07-2020 ,22,
,Palestine,31.9522,35.2332,03-07-2020 ,22,
British Columbia,Canada,49.2827,-123.1207,03-07-2020 ,21,
,Israel,31,35,03-07-2020 ,21,
Grand Princess Cruise Ship,US,37.6489,-122.6655,03-07-2020 ,21,
,Portugal,39.3999,-8.2245,03-07-2020 ,20,
,Czech Republic,49.8175,15.473,03-07-2020 ,19,
,Ireland,53.1424,-7.6921,03-07-2020 ,18,
Qinghai,China,35.7452,95.9956,03-07-2020 ,18,
,Vietnam,16,108,03-07-2020 ,18,
,Algeria,28.0339,1.6596,03-07-2020 ,17,
,Oman,21,57,03-07-2020 ,16,
,Egypt,26,30,03-07-2020 ,15,
,Finland,64,26,03-07-2020 ,15,
"Los Angeles, CA",US,34.0522,-118.2437,03-07-2020 ,14,
Queensland,Australia,-28.0167,153.4,03-07-2020 ,13,
,Brazil,-14.235,-51.9253,03-07-2020 ,13,
,Ecuador,-1.8312,-78.1834,03-07-2020 ,13,
,Russia,60,90,03-07-2020 ,13,
,Croatia,45.1,15.2,03-07-2020 ,12,
Victoria,Australia,-37.8136,144.9631,03-07-2020 ,11,
"New York County, NY",US,40.7128,-74.006,03-07-2020 ,11,
,Estonia,58.5953,25.0136,03-07-2020 ,10,
Macau,Macau,22.1667,113.55,03-07-2020 ,10,
,Azerbaijan,40.1431,47.5769,03-07-2020 ,9,
,Romania,45.9432,24.9668,03-07-2020 ,9,
"San Francisco County, CA",US,37.7749,-122.4194,03-07-2020 ,9,
,Argentina,-38.4161,-63.6167,03-07-2020 ,8,
,Qatar,25.3548,51.1839,03-07-2020 ,8,
South Australia,Australia,-34.9285,138.6007,03-07-2020 ,7,
,Slovenia,46.1512,14.9955,03-07-2020 ,7,
,Belarus,53.7098,27.9534,03-07-2020 ,6,
,Mexico,23.6345,-102.5528,03-07-2020 ,6,
,Pakistan,30.3753,69.3451,03-07-2020 ,6,
,Philippines,13,122,03-07-2020 ,6,
"Cook County, IL",US,41.7377,-87.6976,03-07-2020 ,6,
,French Guiana,3.9339,-53.1258,03-07-2020 ,5,
,New Zealand,-40.9006,174.886,03-07-2020 ,5,
,Poland,51.9194,19.1451,03-07-2020 ,5,
,Saudi Arabia,24,45,03-07-2020 ,5,
"Harris County, TX",US,29.7752,-95.3103,03-07-2020 ,5,
"Placer County, CA",US,39.0916,-120.8039,03-07-2020 ,5,
"Unassigned Location, WA",US,47.7511,-120.7401,03-07-2020 ,5,
,Chile,-35.6751,-71.543,03-07-2020 ,4,
,Georgia,42.3154,43.3569,03-07-2020 ,4,
,Hungary,47.1625,19.5033,03-07-2020 ,4,
,Indonesia,-0.7893,113.9213,03-07-2020 ,4,
,Senegal,14.4974,-14.4524,03-07-2020 ,4,
"Bergen County, NJ",US,40.9263,-74.077,03-07-2020 ,4,
"Nassau County, NY",US,40.6546,-73.5594,03-07-2020 ,4,
Western Australia,Australia,-31.9505,115.8605,03-07-2020 ,3,
,Bosnia and Herzegovina,43.9159,17.6791,03-07-2020 ,3,
" Montreal, QC",Canada,45.5017,-73.5673,03-07-2020 ,3,
" Montreal, QC",Canada,45.5017,-73.5673,03-07-2020 ,3,
,Malta,35.9375,14.3754,03-07-2020 ,3,
,North Macedonia,41.6086,21.7453,03-07-2020 ,3,
,Saint Barthelemy,17.9,-62.8333,03-07-2020 ,3,
"Contra Costa County, CA",US,37.8534,-121.9018,03-07-2020 ,3,
"Douglas County, CO",US,39.2587,-104.9389,03-07-2020 ,3,
"Fort Bend County, TX",US,29.5693,-95.8143,03-07-2020 ,3,
"Fulton County, GA",US,33.8034,-84.3963,03-07-2020 ,3,
"Maricopa County, AZ",US,33.2918,-112.4291,03-07-2020 ,3,
"Montgomery County, MD",US,39.1547,-77.2405,03-07-2020 ,3,
"Orange County, CA",US,33.7879,-117.8531,03-07-2020 ,3,
"Providence County, RI",US,41.8882,-71.4774,03-07-2020 ,3,
"San Diego County, CA",US,32.7157,-117.1611,03-07-2020 ,3,
"Suffolk County, MA",US,42.3601,-71.0589,03-07-2020 ,3,
"Washington County, OR",US,45.547,-123.1386,03-07-2020 ,3,
,Dominican Republic,18.7357,-70.1627,03-07-2020 ,2,
,Luxembourg,49.8153,6.1296,03-07-2020 ,2,
,Martinique,14.6415,-61.0242,03-07-2020 ,2,
,Morocco,31.7917,-7.0926,03-07-2020 ,2,
" Norfolk County, MA",US,42.1767,-71.1449,03-07-2020 ,2,
"Alameda County, CA",US,37.6017,-121.7195,03-07-2020 ,2,
"Broward County, FL",US,26.1901,-80.3659,03-07-2020 ,2,
"Denver County, CO",US,39.7392,-104.9903,03-07-2020 ,2,
"Fairfield County, CT",US,41.256,-73.3709,03-07-2020 ,2,
"Floyd County, GA",US,34.2829,-85.2308,03-07-2020 ,2,
"Grafton County, NH",US,43.9088,-71.826,03-07-2020 ,2,
"Hillsborough, FL",US,27.9904,-82.3018,03-07-2020 ,2,
"Lee County, FL",US,26.663,-81.9535,03-07-2020 ,2,
"Pinal County, AZ",US,32.8162,-111.2845,03-07-2020 ,2,
"Rockland County, NY",US,41.1489,-73.983,03-07-2020 ,2,
"Sacramento County, CA",US,38.4747,-121.3542,03-07-2020 ,2,
"San Benito, CA",US,36.5761,-120.9876,03-07-2020 ,2,
"San Mateo, CA",US,37.563,-122.3255,03-07-2020 ,2,
"Saratoga County, NY",US,43.0324,-73.936,03-07-2020 ,2,
"Summit County, CO",US,39.5912,-106.064,03-07-2020 ,2,
,Afghanistan,33,65,03-07-2020 ,1,
,Andorra,42.5063,1.5218,03-07-2020 ,1,
,Armenia,40.0691,45.0382,03-07-2020 ,1,
Tasmania,Australia,-41.4545,145.9707,03-07-2020 ,1,
,Bhutan,27.5142,90.4336,03-07-2020 ,1,
,Cambodia,11.55,104.9167,03-07-2020 ,1,
,Cameroon,3.848,11.5021,03-07-2020 ,1,
"Calgary, Alberta",Canada,51.0447,-114.0719,03-07-2020 ,1,
"Edmonton, Alberta",Canada,53.5461,-113.4938,03-07-2020 ,1,
"London, ON",Canada,42.9849,-81.2453,03-07-2020 ,1,
"London, ON",Canada,42.9849,-81.2453,03-07-2020 ,1,
,Colombia,4.5709,-74.2973,03-07-2020 ,1,
,Costa Rica,9.7489,-83.7534,03-07-2020 ,1,
,Faroe Islands,61.8926,-6.9118,03-07-2020 ,1,
,Gibraltar,36.1408,-5.3536,03-07-2020 ,1,
,Jordan,31.24,36.51,03-07-2020 ,1,
,Latvia,56.8796,24.6032,03-07-2020 ,1,
,Liechtenstein,47.14,9.55,03-07-2020 ,1,
,Lithuania,55.1694,23.8813,03-07-2020 ,1,
Tibet,China,31.6927,88.0924,03-07-2020 ,1,
,Monaco,43.7333,7.4167,03-07-2020 ,1,
,Nepal,28.1667,84.25,03-07-2020 ,1,
,Nigeria,9.082,8.6753,03-07-2020 ,1,
,Peru,-9.19,-75.0152,03-07-2020 ,1,
,Serbia,44.0165,21.0059,03-07-2020 ,1,
,Slovakia,48.669,19.699,03-07-2020 ,1,
,South Africa,-30.5595,22.9375,03-07-2020 ,1,
,Sri Lanka,7,81,03-07-2020 ,1,
,Togo,8.6195,0.8248,03-07-2020 ,1,
,Tunisia,34,9,03-07-2020 ,1,
"Charleston County, SC",US,32.7957,-79.7848,03-07-2020 ,1,
"Chatham County, NC",US,35.7211,-79.1781,03-07-2020 ,1,
"Clark County, NV",US,36.0796,-115.094,03-07-2020 ,1,
"Clark County, WA",US,45.7466,-122.5194,03-07-2020 ,1,
"Cobb County, GA",US,33.8999,-84.5641,03-07-2020 ,1,
"Davis County, UT",US,40.9629,-112.0953,03-07-2020 ,1,
"Delaware County, PA",US,39.9078,-75.3879,03-07-2020 ,1,
